orderparam,pmf
-1.8317647058823527,2.610659472334255
-1.815294117647059,2.579903611339476
-1.7988235294117647,2.4499681649092184
-1.7823529411764707,2.405709827241245
-1.765882352941177,2.290944556672507
-1.7494117647058824,2.127976203765863
-1.7329411764705882,1.93546816927823
-1.7164705882352942,1.7825420874877322
-1.7000000000000002,1.7037265732310347
-1.683529411764706,1.629741743911422
-1.6670588235294117,1.5666678228801172
-1.6505882352941177,1.5630876110754297
-1.6341176470588237,1.582084546617687
-1.6176470588235294,1.5258609302902253
-1.6011764705882352,1.558853318197807
-1.5847058823529414,1.6960281710652616
-1.5682352941176472,1.8010052170630422
-1.631764705882353,1.7363488601083397
-1.615294117647059,1.7412708502383134
-1.598823529411765,1.746441534492238
-1.5823529411764707,1.7656511304000408
-1.5658823529411765,1.8010052170630422
-1.5494117647058825,1.7682311236056871
-1.5329411764705885,1.8239800161909685
-1.5164705882352942,1.8794859672920272
-1.5,1.959410085822641
-1.483529411764706,2.0383693974680925
-1.467058823529412,2.184423003914057
-1.4505882352941175,2.2950397881181246
-1.4341176470588235,2.475188773732434
-1.4176470588235297,2.519882756498937
-1.4011764705882357,2.649409195397457
-1.3847058823529412,2.716396844834585
-1.368235294117647,2.876951513903407
-1.4317647058823533,2.965426556291709
-1.415294117647059,2.986463386924095
-1.3988235294117648,2.956239432333207
-1.3823529411764708,2.924050527220724
-1.3658823529411768,2.876951513903407
-1.3494117647058823,2.9048785419650565
-1.3329411764705883,2.9426154217499656
-1.3164705882352945,2.952224702651968
-1.3000000000000005,3.0797148991526404
-1.283529411764706,3.227912779588661
-1.2670588235294118,3.3764430089572386
-1.2505882352941178,3.5248192572148964
-1.2341176470588238,3.618218565942272
-1.2176470588235295,3.776654579361421
-1.2011764705882353,3.923623730798739
-1.1847058823529415,4.040909866429252
-1.1682352941176473,4.299066901755616
-1.231764705882353,3.964904973912267
-1.215294117647059,4.031538934049166
-1.198823529411765,4.110002522652707
-1.1823529411764708,4.216883949777939
-1.1658823529411766,4.299066901755616
-1.1494117647058826,4.324463375720397
-1.1329411764705886,4.382001462928004
-1.1164705882352943,4.43098550299383
-1.1,4.472032767787912
-1.083529411764706,4.557869727011418
-1.067058823529412,4.671565407265504
-1.0505882352941178,4.796763940320308
-1.0341176470588236,4.828048658599888
-1.0176470588235298,4.854635648913108
